"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: trafficdeathsweekday"
"ICD-10 Codes: V01-V99 (Transport accidents)"
"Group By: Cause of death; Weekday"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 8, 2023 7:14:03 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 8, 2023 7:14:03 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"5. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
"Notes"	"Cause of death"	"Cause of death Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Tuesday"	"3"	86	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Wednesday"	"4"	73	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Thursday"	"5"	73	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Friday"	"6"	118	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Saturday"	"7"	147	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Sunday"	"1"	43	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Monday"	"2"	38	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Tuesday"	"3"	21	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Wednesday"	"4"	44	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Thursday"	"5"	24	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Friday"	"6"	43	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	"V48.9"	"Saturday"	"7"	62	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Sunday"	"1"	205	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Monday"	"2"	198	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Tuesday"	"3"	193	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Wednesday"	"4"	188	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Thursday"	"5"	185	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Friday"	"6"	195	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.4"	"Saturday"	"7"	233	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Sunday"	"1"	134	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Monday"	"2"	115	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Tuesday"	"3"	98	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Wednesday"	"4"	111	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Thursday"	"5"	103	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Friday"	"6"	117	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.5"	"Saturday"	"7"	138	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Sunday"	"1"	21	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Monday"	"2"	30	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Tuesday"	"3"	19	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Wednesday"	"4"	22	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Thursday"	"5"	22	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Friday"	"6"	23	Not Applicable	Not Applicable
	"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"	"V49.6"	"Saturday"	"7"	32	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Sunday"	"1"	594	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Monday"	"2"	512	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Tuesday"	"3"	508	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Wednesday"	"4"	474	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Thursday"	"5"	518	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Friday"	"6"	621	Not Applicable	Not Applicable
	"Car occupant [any] injured in unspecified traffic accident"	"V49.9"	"Saturday"	"7"	695	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Sunday"	"1"	96	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Monday"	"2"	121	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Tuesday"	"3"	109	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Wednesday"	"4"	118	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Thursday"	"5"	104	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Friday"	"6"	150	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V53.5"	"Saturday"	"7"	115	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Sunday"	"1"	42	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Monday"	"2"	36	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Tuesday"	"3"	24	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Wednesday"	"4"	25	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Thursday"	"5"	24	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Friday"	"6"	45	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V53.6"	"Saturday"	"7"	30	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Sunday"	"1"	40	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Monday"	"2"	93	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Tuesday"	"3"	99	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Wednesday"	"4"	82	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Thursday"	"5"	93	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Friday"	"6"	91	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V54.5"	"Saturday"	"7"	47	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Sunday"	"1"	16	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Monday"	"2"	25	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Tuesday"	"3"	27	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Wednesday"	"4"	27	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Thursday"	"5"	26	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Friday"	"6"	16	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V54.6"	"Saturday"	"7"	22	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V55.5"	"Thursday"	"5"	10	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Sunday"	"1"	149	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Monday"	"2"	123	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Tuesday"	"3"	132	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Wednesday"	"4"	121	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Thursday"	"5"	130	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Friday"	"6"	145	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"	"V57.5"	"Saturday"	"7"	170	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Sunday"	"1"	43	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Monday"	"2"	17	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Tuesday"	"3"	15	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Wednesday"	"4"	18	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Thursday"	"5"	17	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Friday"	"6"	25	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V57.6"	"Saturday"	"7"	37	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic accident"	"V57.9"	"Wednesday"	"4"	13	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic accident"	"V57.9"	"Friday"	"6"	11	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in nontraffic accident"	"V58.3"	"Sunday"	"1"	11	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in nontraffic accident"	"V58.3"	"Monday"	"2"	10	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in nontraffic accident"	"V58.3"	"Tuesday"	"3"	13	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in nontraffic accident"	"V58.3"	"Friday"	"6"	13	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Sunday"	"1"	137	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Monday"	"2"	107	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Tuesday"	"3"	110	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Wednesday"	"4"	112	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Thursday"	"5"	127	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Friday"	"6"	141	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident"	"V58.5"	"Saturday"	"7"	157	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Sunday"	"1"	61	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Monday"	"2"	37	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Tuesday"	"3"	37	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Wednesday"	"4"	44	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Thursday"	"5"	44	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Friday"	"6"	50	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident"	"V58.6"	"Saturday"	"7"	67	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Sunday"	"1"	24	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Monday"	"2"	14	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Tuesday"	"3"	19	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Wednesday"	"4"	15	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Thursday"	"5"	10	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Friday"	"6"	12	Not Applicable	Not Applicable
	"Occupant of pick-up truck or van injured in noncollision transport accident, unspecified occupant of pick-up truck or van injured in traffic accident"	"V58.9"	"Saturday"	"7"	17	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Sunday"	"1"	55	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Monday"	"2"	59	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Tuesday"	"3"	76	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Wednesday"	"4"	64	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Thursday"	"5"	45	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Friday"	"6"	68	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.4"	"Saturday"	"7"	54	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Sunday"	"1"	42	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Monday"	"2"	33	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Tuesday"	"3"	36	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Wednesday"	"4"	33	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Thursday"	"5"	36	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Friday"	"6"	48	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V59.5"	"Saturday"	"7"	47	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Sunday"	"1"	83	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Monday"	"2"	66	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Tuesday"	"3"	83	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Wednesday"	"4"	71	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Thursday"	"5"	87	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Friday"	"6"	109	Not Applicable	Not Applicable
	"Occupant [any] of pick-up truck or van injured in unspecified traffic accident"	"V59.9"	"Saturday"	"7"	103	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V63.5"	"Monday"	"2"	10	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V63.5"	"Wednesday"	"4"	16	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"Sunday"	"1"	10	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"Monday"	"2"	37	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"Tuesday"	"3"	36	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"Wednesday"	"4"	33	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"Thursday"	"5"	33	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V64.5"	"Friday"	"6"	29	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"Monday"	"2"	28	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"Tuesday"	"3"	34	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"Wednesday"	"4"	37	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"Thursday"	"5"	29	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"Friday"	"6"	34	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in collision with fixed or stationary object, driver injured in traffic accident"	"V67.5"	"Saturday"	"7"	17	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Sunday"	"1"	23	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Monday"	"2"	59	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Tuesday"	"3"	52	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Wednesday"	"4"	59	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Thursday"	"5"	45	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Friday"	"6"	43	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, driver injured in traffic accident"	"V68.5"	"Saturday"	"7"	33	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, passenger injured in traffic accident"	"V68.6"	"Wednesday"	"4"	10	Not Applicable	Not Applicable
	"Occupant of heavy transport vehicle injured in noncollision transport accident, passenger injured in traffic accident"	"V68.6"	"Thursday"	"5"	10	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.4"	"Sunday"	"1"	10	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.4"	"Monday"	"2"	20	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.4"	"Tuesday"	"3"	22	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.4"	"Wednesday"	"4"	21	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.4"	"Thursday"	"5"	16	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.4"	"Friday"	"6"	16	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.5"	"Tuesday"	"3"	15	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V69.5"	"Wednesday"	"4"	10	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Sunday"	"1"	18	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Monday"	"2"	28	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Tuesday"	"3"	36	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Wednesday"	"4"	34	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Thursday"	"5"	35	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Friday"	"6"	23	Not Applicable	Not Applicable
	"Occupant [any] of heavy transport vehicle injured in unspecified traffic accident"	"V69.9"	"Saturday"	"7"	21	Not Applicable	Not Applicable
	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"	"V80.0"	"Sunday"	"1"	37	Not Applicable	Not Applicable
	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"	"V80.0"	"Monday"	"2"	44	Not Applicable	Not Applicable
	"Rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident"	"V80.0"	"Tuesday"	"3"	34	Not Applicable	Not Applicable
